feature,importance
parkinson_vol_20,0.25526421926386245
dist_sma_200,0.17451178538212572
garman_klass_vol_20,0.16762947695763383
sma_50_over_200,0.1503458144334181
volatility_20,0.13201053644967697
volatility_10,0.11261164861457545
return_5d,0.10305550197089523
momentum_60_5,0.10054982102196672
return_20d,0.09689797703689759
downside_vol_20,0.08196330955276819
return_60d,0.07218324852438898
log_return_1d,0.07152181003662117
atr_pct_14,0.06869328486314477
return_2d,0.057395709852769816
momentum_20_5,0.0567473107383421
return_1d,0.05601705308165786
momentum_120_20,0.04790357064827892
vol_ratio_10_60,0.04733051008512478
dist_sma_50,0.046593449123383125
xs_rank_relative_volume_20,0.04302106708972016
xs_rank_volatility_20,0.04002148224145166
xs_rank_return_5d,0.03947928535275504
overnight_return,0.03892760482170276
intraday_return,0.037316878872171964
trend_regime,0.036894729357843575
volume_zscore_60,0.028994438938398884
days_since_high_252,0.028565313697638806
dist_sma_20,0.02553297702667534
up_day_ratio_20,0.023127680934258623
relative_volume_20,0.019025436860418445
macd_hist,0.018673936938486128
vol_zscore_expanding,0.01664597592887585
return_10d,0.015870357266956882
drawdown_from_peak,0.015730701029694358
volume_direction_20,0.01349611091509466
bb_position,0.0128030985577227
vol_percentile_expanding,0.012698270767838197
volatility_60,0.012385380938915634
xs_rank_return_20d,0.012233363143957109
rsi_14,0.011619392412396578
log_turnover,0.0099236684013233
bb_width,0.009291740053564496
turnover_trend_20,0.008901970617046822
macd,0.003294209826568775
macd_signal,0.0025011512961326888
